timestamp,exchange,funding_rate_pct,funding_annualized,spot_price,perp_price,spread_pct,open_interest,spot_volume_24h,perp_volume_24h
2025-11-27T00:02:33.646035,okx,-1.5000,-13140.00,0.524740,0.442510,18.5826,17955055,31889738,0
2025-11-27T00:02:34.259716,gate,-1.5000,-13140.00,0.527640,0.440140,19.8800,0,22763965,39450241
2025-11-27T00:03:04.569988,okx,-1.5000,-13140.00,0.524300,0.440490,19.0265,17803878,31849129,0
2025-11-27T00:03:05.164176,gate,-1.5000,-13140.00,0.523750,0.439470,19.1776,0,22746392,39453701
2025-11-27T00:03:35.451505,okx,-1.5000,-13140.00,0.524670,0.441260,18.9027,17840473,31858710,0
2025-11-27T00:03:36.083093,gate,-1.5000,-13140.00,0.524100,0.441970,18.5827,0,22745922,39720330
2025-11-27T00:04:06.392181,okx,-1.5000,-13140.00,0.525690,0.446780,17.6619,18094516,31696306,0
2025-11-27T00:04:06.993372,gate,-1.5000,-13140.00,0.527430,0.449080,17.4468,0,22720799,40404691
2025-11-27T00:04:37.308519,okx,-1.5000,-13140.00,0.524310,0.446220,17.5003,18001322,31702600,0
2025-11-27T00:04:37.940738,gate,-1.5000,-13140.00,0.523960,0.448110,16.9266,0,22685572,40391677
2025-11-27T00:05:08.264708,okx,-1.5000,-13140.00,0.524030,0.439390,19.2631,17880092,31621466,0
2025-11-27T00:05:08.957670,gate,-1.5000,-13140.00,0.522830,0.440910,18.5798,0,22684700,39784751
2025-11-27T00:05:39.289296,okx,-1.5000,-13140.00,0.524000,0.437830,19.6812,17817664,31627030,0
2025-11-27T00:05:39.901479,gate,-1.5000,-13140.00,0.522750,0.437670,19.4393,0,22696222,39520508
2025-11-27T00:06:10.444497,okx,-1.5000,-13140.00,0.524600,0.429580,22.1193,17335419,31589509,0
2025-11-27T00:06:11.037112,gate,-1.5000,-13140.00,0.522240,0.428360,21.9161,0,22688800,38932046
2025-11-27T00:06:41.678026,okx,-1.5000,-13140.00,0.524650,0.433300,21.0824,17475757,31591573,0
2025-11-27T00:06:42.276901,gate,-1.5000,-13140.00,0.526140,0.434610,21.0603,0,22677864,39542685
2025-11-27T00:07:12.533360,okx,-1.5000,-13140.00,0.525670,0.436850,20.3319,17610602,31549306,0
