Pair,Return,Sharpe,Max_DD,Trades,Win_Rate,Current_Z,Days
TLT/IEF,1.5295871581896425,0.8174575711565117,-0.3615947018427601,4,75.0,-1.2077751626787394,500
GLD/SLV,1.1995806823484418,0.12989496052313984,-4.72655189118435,4,75.0,-2.4417961420676515,500
GLD/GDX,-0.45223394467247996,-0.026442983465372206,-10.266086655704376,7,57.14285714285714,-2.3398543537651415,500
VNQ/IYR,-0.5028789613579829,-0.7526973913117831,-0.6062654558851466,2,0.0,0.9863260132005707,500
USO/BNO,-1.4543174448588252,-0.8437035087842621,-2.1652623475471477,7,14.285714285714285,-1.7915804456216948,500
VTV/VUG,-2.0154120116116068,-0.2563723239557456,-4.142949320655975,7,42.857142857142854,-1.5335111782093747,500
IWM/MDY,-2.2942911540723436,-0.6357984620304119,-3.861784723920769,10,60.0,2.027849173099159,500
XLU/XLP,-4.140106859276748,-0.5020581109784139,-7.126366719772637,16,43.75,1.7591922034160492,500
