Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 09:30:00-05:00,4.210000038146973,4.286300182342529,4.190000057220459,4.25,1234539,0.0,0.0
2025-11-24 10:30:00-05:00,4.25,4.264999866485596,4.210000038146973,4.215000152587891,531966,0.0,0.0
2025-11-24 11:30:00-05:00,4.210000038146973,4.260000228881836,4.210000038146973,4.260000228881836,923220,0.0,0.0
2025-11-24 12:30:00-05:00,4.260000228881836,4.269999980926514,4.239999771118164,4.255000114440918,551047,0.0,0.0
2025-11-24 13:30:00-05:00,4.255000114440918,4.268599987030029,4.239999771118164,4.255000114440918,671000,0.0,0.0
2025-11-24 14:30:00-05:00,4.255000114440918,4.255000114440918,4.150000095367432,4.15500020980835,3084912,0.0,0.0
2025-11-24 15:30:00-05:00,4.153299808502197,4.184999942779541,4.139999866485596,4.15500020980835,2465365,0.0,0.0
2025-11-25 09:30:00-05:00,4.070000171661377,4.0883002281188965,4.010000228881836,4.070099830627441,2756347,0.0,0.0
2025-11-25 10:30:00-05:00,4.074999809265137,4.089700222015381,4.039999961853027,4.065000057220459,1481383,0.0,0.0
2025-11-25 11:30:00-05:00,4.059999942779541,4.090000152587891,4.050000190734863,4.065000057220459,1030618,0.0,0.0
2025-11-25 12:30:00-05:00,4.065199851989746,4.079999923706055,4.059999942779541,4.065000057220459,877446,0.0,0.0
2025-11-25 13:30:00-05:00,4.065000057220459,4.070000171661377,4.010000228881836,4.014999866485596,736157,0.0,0.0
2025-11-25 14:30:00-05:00,4.014999866485596,4.019999980926514,3.9800000190734863,4.0055999755859375,1088735,0.0,0.0
2025-11-25 15:30:00-05:00,4.010000228881836,4.03000020980835,4.0,4.005000114440918,1346838,0.0,0.0
2025-11-26 09:30:00-05:00,4.0,4.079999923706055,4.0,4.070000171661377,1405601,0.0,0.0
2025-11-26 10:30:00-05:00,4.069900035858154,4.119999885559082,4.065000057220459,4.101799964904785,1241104,0.0,0.0
2025-11-26 11:30:00-05:00,4.100299835205078,4.100299835205078,4.059999942779541,4.083600044250488,1195372,0.0,0.0
2025-11-26 12:30:00-05:00,4.085000038146973,4.110000133514404,4.079999923706055,4.085000038146973,771467,0.0,0.0
2025-11-26 13:30:00-05:00,4.085000038146973,4.090000152587891,4.070000171661377,4.074999809265137,755244,0.0,0.0
2025-11-26 14:30:00-05:00,4.074999809265137,4.119999885559082,4.070000171661377,4.114999771118164,1051672,0.0,0.0
2025-11-26 15:30:00-05:00,4.114999771118164,4.119999885559082,4.070000171661377,4.074999809265137,1488345,0.0,0.0
2025-11-28 09:30:00-05:00,4.090000152587891,4.110000133514404,4.059999942779541,4.085000038146973,862806,0.0,0.0
2025-11-28 10:30:00-05:00,4.079999923706055,4.099999904632568,4.079999923706055,4.085000038146973,370914,0.0,0.0
2025-11-28 11:30:00-05:00,4.085000038146973,4.114999771118164,4.079999923706055,4.079999923706055,1493710,0.0,0.0
2025-12-01 09:30:00-05:00,4.03000020980835,4.03000020980835,3.940000057220459,3.944999933242798,1774337,0.0,0.0
2025-12-01 10:30:00-05:00,3.944999933242798,3.990000009536743,3.940000057220459,3.984999895095825,829439,0.0,0.0
2025-12-01 11:30:00-05:00,3.990000009536743,4.019999980926514,3.982800006866455,4.014999866485596,822886,0.0,0.0
2025-12-01 12:30:00-05:00,4.019999980926514,4.03000020980835,4.010000228881836,4.014999866485596,667382,0.0,0.0
2025-12-01 13:30:00-05:00,4.010000228881836,4.019999980926514,3.994999885559082,3.994999885559082,508147,0.0,0.0
2025-12-01 14:30:00-05:00,3.994999885559082,4.0,3.9800000190734863,3.990000009536743,727351,0.0,0.0
2025-12-01 15:30:00-05:00,3.9869000911712646,3.990000009536743,3.9700000286102295,3.9749999046325684,1336697,0.0,0.0
