Symbol,Total_Return_%,Num_Trades,Win_Rate_%,Avg_Trade_%,Daily_Vol_%,Trades_Per_Day
AMD,27.673642746786815,115,58.26086956521739,0.24064037171118968,5.516281547304603,12.769382391590012
SQQQ,15.974611638790163,102,58.82352941176471,0.156613839595982,3.3862310566110594,11.325886990801576
TSLA,10.698517284365334,105,60.0,0.10189064080347937,3.1018309004386238,11.659001314060447
VIXY,10.558197429175312,107,59.813084112149525,0.09867474232874124,3.679098965763899,11.88107752956636
NVDA,9.814455784693518,77,62.33766233766234,0.12746046473627945,2.7353143120369365,8.54993429697766
VXX,6.7327491694485975,105,59.04761904761905,0.06412142066141521,3.672016280657376,11.659001314060447
XLI,2.2763215821062213,10,70.0,0.22763215821062213,0.8774714673591382,1.1103810775295664
SPY,1.8497262458376684,7,57.14285714285714,0.26424660654823834,0.830844795406124,0.7772667542706965
XLE,1.1318786725572108,24,50.0,0.04716161135655045,1.2179899229360074,2.6649145860709593
XLF,1.114268721719625,11,45.45454545454545,0.1012971565199659,0.8620028863335455,1.221419185282523
TLT,0.9525661104449152,3,66.66666666666666,0.31752203681497176,0.5773092323561496,0.3331143232588699
UVXY,0.5302003184552824,139,60.431654676258994,0.00381439078025383,5.4834437133419165,15.434296977660972
TQQQ,-0.9815453187408361,96,53.125,-0.010224430403550375,3.3954018932251078,10.659658344283837
XLK,-1.033093430763497,35,48.57142857142857,-0.02951695516467134,1.4072871282296533,3.886333771353482
GLD,-1.1866636536973707,29,44.827586206896555,-0.040919436334392094,1.3415384622834254,3.2201051248357424
TBT,-1.2244544405953,19,47.368421052631575,-0.06444497055764736,1.1326226722695103,2.1097240473061762
UNG,-1.3501278710120677,86,52.32558139534884,-0.015699161290837996,2.624106659279276,9.54927726675427
AAPL,-1.49482344738999,31,48.38709677419355,-0.04822011120612871,1.3698763018285587,3.4421813403416555
USO,-1.7951746732891483,41,48.78048780487805,-0.04378474812900362,1.6167724245185946,4.552562417871222
DBA,-2.8435057506423984,5,0.0,-0.5687011501284797,0.7019981942819876,0.5599734923790589
SPXS,-5.219343081594231,80,53.75,-0.06524178851992789,2.5036315191869525,8.883048620236531
XLV,-5.812599767979807,13,23.076923076923077,-0.4471230590753698,0.8408952587285029,1.4434954007884362
SPXL,-7.962801867221134,74,52.702702702702695,-0.10760543063812343,2.48927877127218,8.21681997371879
SVXY,-11.63096140118334,41,48.78048780487805,-0.2836819853947156,1.857033256204518,4.552562417871222
SLV,-13.312663578444681,61,49.18032786885246,-0.21824038653188002,2.2252950455209803,6.773324572930354
BITO,-21.287322490723405,83,45.78313253012048,-0.25647376494847474,2.938894134546427,9.2161629434954
TNA,-21.41076631357275,125,53.6,-0.17128613050858202,3.630644276314412,13.87976346911958
BITQ,-23.489408144288443,131,50.38167938931297,-0.17930845911670568,4.326220001167092,14.56513157894737
TZA,-25.637572744924846,124,51.61290322580645,-0.20675461891068425,3.6521923628381865,13.768725361366622
