Entry_Time,Exit_Time,Type,Entry_Price,Exit_Price,PnL%,Duration_Min,Date
2025-10-30 10:15:00-04:00,2025-10-30 10:30:00-04:00,Short,33.7400016784668,33.40119934082031,1.0041562560523267,15.0,2025-10-30
2025-11-11 10:00:00-05:00,2025-11-11 13:00:00-05:00,Long,32.76499938964844,32.71500015258789,-0.1525995360657425,180.0,2025-11-11
