symbol,category,excess_return,strategy_return,buy_hold_return,win_rate,total_trades,sharpe,years
HMNY,Historical Legends,2745466775.7155147,2745466675.715515,-99.99999966250334,76.06382978723404,188,0.41116489440941334,27.263518138261464
MARA,Crypto Explosives,1457.5141107667807,1369.8218037641784,-87.69230700260239,52.94117647058824,51,0.19485784594195202,13.377138945927447
BB,Penny Explosives,827.9561895458808,947.5423974947628,119.58620794888199,53.125,128,0.11683704551706163,26.628336755646817
TNA,Leveraged ETFs,346.98253806265393,1159.0344592857184,812.0519212230645,64.93506493506493,77,0.22744665032396816,16.826830937713893
SAVA,Biotech Rockets,169.60888934437617,73.88372983229254,-95.72515951208361,64.74820143884892,139,0.0038657293280358394,25.190965092402465
BNTX,Biotech Rockets,122.71815280659189,359.0506221074422,236.33246930085033,41.37931034482759,29,0.40050344348014305,5.952087611225188
MRNA,Biotech Rockets,99.85201218297567,121.13715151469702,21.28513933172136,52.94117647058824,34,0.15788367932266023,6.778918548939083
LABU,Leveraged ETFs,45.59538678434963,-49.65430278474072,-95.24968956909035,55.10204081632652,49,-0.19538637513898682,10.321697467488022
TLRY,Penny Explosives,8.082664130138495,-12.899651573935033,-20.982315704073528,53.06122448979592,49,-0.04004696613219158,10.513347022587268
SNDL,Penny Explosives,4.9761918021883105,-91.32336790908113,-96.29955971126944,44.827586206896555,29,-0.32464450706960846,6.143737166324435
NVAX,Biotech Rockets,4.396295009145788,-89.23227636492996,-93.62857137407575,50.67567567567568,148,-0.10916954200718439,29.796030116358658
AMC,Penny Explosives,3.5640695421957815,-95.01223026826052,-98.5762998104563,44.44444444444444,54,-0.20416983023429808,11.748117727583846
GUSH,Leveraged ETFs,0.7447420155603197,-98.89436509753176,-99.63910711309208,58.333333333333336,48,-0.5551168861130874,10.318959616700889
DRIP,Leveraged ETFs,0.36089921360310484,-99.42348963674075,-99.78438885034386,40.0,45,-0.43673566792658725,10.318959616700889
BTBT,Crypto Explosives,-2.7028212392796007,-67.5410781390736,-64.838256899794,58.333333333333336,36,-0.13122643451676594,7.507186858316222
SVXY,Leveraged Vol,-66.87158944931531,270.34173052900144,337.21331997831675,75.67567567567568,37,0.32669157076408356,13.96851471594798
RIOT,Crypto Explosives,-120.13660122714288,256.74911974239325,376.8857209695361,68.29268292682927,82,0.4052200127461393,9.478439425051334
HUT,Crypto Explosives,-204.55180224911174,-25.256939240144682,179.29486300896707,56.25,32,-0.1553484860081597,7.542778918548939
GME,Penny Explosives,-1361.0830748290184,-65.28097174082636,1295.802103088192,58.77192982456141,114,-0.16520308483619373,23.603011635865844
CURE,Leveraged ETFs,-1944.0085491880898,1308.6093507465396,3252.6178999346293,64.51612903225806,62,0.41035587498900605,14.272416153319645
UPRO,Leveraged ETFs,-2570.64695971699,5275.151036643429,7845.797996360418,67.10526315789474,76,0.5613317886379834,16.243668720054757
REGN,Biotech Rockets,-6120.402859639245,267.94355052067067,6388.346410159916,69.71428571428572,175,0.06055327772743532,34.47501711156742
TQQQ,Leveraged ETFs,-8469.882566507169,8418.620832145172,16888.50339865234,73.61111111111111,72,0.5510280965809957,15.60848733744011
TECL,Leveraged ETFs,-55401.24414414573,1283.3177360598545,56684.56188020558,75.0,68,0.6626717483048908,16.722792607802873
AMGN,Biotech Rockets,-197806.05752516806,99408.40448119066,297214.4620063587,55.83756345177665,197,0.4540452638517464,42.26694045174538
