ticker,hurst,is_mean_reverting,total_return,volatility,price_range,current_price,category
HEDJ,0.47938717832478306,True,31.67275053263885,15.957179735426955,29.525881467867936,52.220001220703125,Currency-Hedged ETFs
DXJ,0.42520543006006584,True,65.280715163167,21.470123983600082,54.92687658831898,139.42999267578125,Currency-Hedged ETFs
DBJP,0.42399586687948304,True,58.27798604892222,21.46636939550925,50.75995776636593,91.87000274658203,Currency-Hedged ETFs
HEFA,0.43618084310023875,True,40.34006439639879,13.655055101344255,36.30848464510791,41.06999969482422,Currency-Hedged ETFs
HEZU,0.46338901970043483,True,39.691600272487634,14.919053863658652,36.16904229872628,43.18000030517578,Currency-Hedged ETFs
DBEZ,0.4671404793766066,True,38.483641106238345,15.332659335104578,34.87227998499782,54.519798278808594,Currency-Hedged ETFs
VXX,0.33387411185227783,True,-53.61689800442553,75.99979360331334,121.38206903080456,32.060001373291016,Volatility Products
VIXY,0.32743065535737337,True,-54.85507301662279,77.52471292606108,122.78122021481246,31.149999618530273,Volatility Products
SVXY,0.3907737609223071,True,2.9864440800611236,38.923978814976614,64.12907077564394,50.52000045776367,Volatility Products
VXZ,0.3467735246576565,True,-6.789293662862795,32.014256707033326,39.95258590770749,55.7400016784668,Volatility Products
BTAL,0.42753755654219744,True,-15.978907397004393,19.970100314746368,42.22637743208952,14.880000114440918,Market Neutral ETFs
QAI,0.42799379805442594,True,17.119470526211742,6.246905799246847,17.49000307511193,33.720001220703125,Market Neutral ETFs
