timestamp,long_size,short_size,total_size
2025-11-30 19:42:19.890568,30630281.737264123,962587.162478,31592868.899742123
2025-11-30 19:51:58.703154,12239851.76500015,606896.3577792,12846748.122779349
2025-11-30 20:01:52.230775,15243756.38691146,376397.5352825,15620153.92219396
2025-11-30 20:11:55.259227,3018851.21162152,1308201.1197999,4327052.33142142
2025-11-30 20:21:46.317010,813225.7122874999,1108726.4502681,1921952.1625556
2025-11-30 20:31:35.429224,498219.2747922,230732.7722971,728952.0470892999
2025-11-30 20:41:09.327450,485247.576515,154802.31117183,640049.88768683
2025-11-30 20:50:43.310709,389519.6292979,110992.26788345998,500511.89718136
2025-11-30 21:00:42.638022,1460598.5164139,375051.2007831,1835649.717197
2025-11-30 21:10:33.839574,1820346.59154533,838552.3294717,2658898.9210170303
2025-11-30 21:20:31.621548,1609817.86297094,2022258.543835,3632076.40680594
2025-11-30 21:30:05.194939,1244803.13745564,1032277.732136,2277080.8695916403
2025-11-30 21:39:51.885307,3051397.1846356,97509.9119769,3148907.0966125
2025-11-30 21:49:44.839783,3234719.66861864,234893.2569966,3469612.92561524
2025-11-30 21:59:34.881277,618779.0765559999,81093.0627728,699872.1393287999
2025-11-30 22:09:23.078618,2539332.5286366,108817.027673,2648149.5563096
2025-11-30 22:18:55.018851,3752001.1838445,97842.24447340002,3849843.4283179
2025-11-30 22:28:27.409471,2006867.8033911,125363.8681435,2132231.6715346
2025-11-30 22:38:00.778435,1441721.0954353,181075.7657229,1622796.8611581998
2025-11-30 22:47:32.749683,1983068.2721106,234567.038155,2217635.3102656
2025-11-30 22:57:24.777376,609086.9011675001,78073.614456,687160.5156235001
2025-11-30 23:06:54.848233,884112.6368211,35935.666799,920048.3036201
2025-11-30 23:17:01.327441,4022562.3548679696,269638.80025362,4292201.15512159
2025-11-30 23:26:45.363402,5492022.08330157,281496.03033762,5773518.11363919
2025-11-30 23:36:31.002049,3227032.9412660403,186788.623638,3413821.56490404
2025-11-30 23:46:32.415680,904076.28588834,313982.88389010006,1218059.16977844
2025-11-30 23:56:04.577223,448106.0243701,397250.5436293,845356.5679994
2025-12-01 00:07:48.418747,291440.5760321,290827.5402268,582268.1162589
2025-12-01 00:18:41.359101,811712.4469005,285912.0326431,1097624.4795436
2025-12-01 00:29:10.129626,1477034.4845942005,229421.3379739,1706455.8225681002
2025-12-01 00:39:35.771011,756963.82097621,204635.1013164,961598.92229261
2025-12-01 00:50:04.615592,642801.1689136999,139589.83136200003,782391.0002756999
2025-12-01 01:00:35.617143,120571.1104193,151025.3971599,271596.5075792
2025-12-01 01:11:17.391700,133858.3547557,427072.0302118,560930.3849675
2025-12-01 01:21:44.624472,165846.1265605,184547.57116974,350393.69773024
2025-12-01 01:32:21.522688,319406.90784086,89231.51404174,408638.4218826
2025-12-01 01:42:54.743947,93497.4236396,236535.153965,330032.5776046
2025-12-01 01:53:27.386287,190045.0883184,358381.86807100003,548426.9563894001
2025-12-01 02:04:00.355785,451151.8067591,231267.51601970004,682419.3227788
2025-12-01 02:14:35.485713,902457.2346587,72477.4693572,974934.7040159
2025-12-01 02:25:11.421191,389896.7211158001,54370.36808199999,444267.0891978001
2025-12-01 02:35:33.644032,320105.1240163,132601.9399384,452707.0639547
2025-12-01 02:46:04.877251,173262.6834497,389856.7220737001,563119.4055234
2025-12-01 02:56:39.853160,167973.4533438,385996.591993,553970.0453368
2025-12-01 03:07:15.774351,113786.5800487,206613.1152785,320399.6953272
2025-12-01 03:17:47.146625,120629.99843890002,170630.8994309,291260.8978698
2025-12-01 03:28:08.163231,122417.2217889,41535.0422553,163952.2640442
2025-12-01 03:38:38.904653,121557.49783158,174507.9034042,296065.40123578
2025-12-01 03:49:11.710229,117701.21303168,308087.72767959,425788.94071127
2025-12-01 03:59:32.514696,91399.5808892,324570.027253,415969.6081422
2025-12-01 04:10:21.439321,110815.749063,554579.8370610999,665395.5861240999
2025-12-01 04:20:54.661552,200969.1054864,167344.2238956,368313.329382
2025-12-01 04:31:26.641467,209921.9958917,133353.5270127,343275.5229044
2025-12-01 04:42:09.500502,176374.79071119998,121281.60540230002,297656.3961135
2025-12-01 04:52:38.813931,810076.6821609,271302.6079565,1081379.2901174
2025-12-01 05:03:04.079344,811142.47995142,278661.9997622,1089804.47971362
2025-12-01 05:13:24.904654,176177.76384059998,291581.8454462,467759.6092868
2025-12-01 05:23:39.410959,152620.6696765,116032.8776685,268653.547345
2025-12-01 05:34:11.924165,89340.3629379,214105.65418528,303446.01712318
2025-12-01 05:44:28.209167,82795.40366899999,158288.28076690002,241083.6844359
2025-12-01 05:54:40.905071,104725.6919888,124968.66941472,229694.36140352
2025-12-01 06:05:06.936258,187133.77422988,101884.17580082,289017.95003069995
2025-12-01 06:15:25.377200,810937.5780032801,88922.7762527,899860.3542559801
2025-12-01 06:25:39.217891,509429.737185,126180.7547804,635610.4919653999
2025-12-01 06:36:06.978786,730200.4210316,129181.50720059998,859381.9282322
2025-12-01 06:46:26.037023,783146.2393566,119086.4445404,902232.683897
2025-12-01 06:56:45.173077,418546.471612,104079.1714775,522625.6430895
2025-12-01 07:07:13.606595,1911203.3167195,96752.5066735,2007955.823393
2025-12-01 07:17:28.675506,2741267.5478752,132096.5478848,2873364.09576
2025-12-01 07:27:40.418258,698131.3861138,147292.31568389997,845423.7017977
2025-12-01 07:37:58.086924,1345231.5500466,150857.32536900003,1496088.8754156
2025-12-01 07:48:15.119692,3599695.6891896995,170194.05086649998,3769889.7400562
2025-12-01 07:58:32.492028,3395056.1922897403,1223119.5544988,4618175.746788541
