timestamp,action,position_id,buy_exchange,sell_exchange,buy_price,sell_price,amount,size_usd,spread_pct,fees_paid,pnl,balance
2025-11-26T23:45:09.275761,OPEN,P0001,okx_perp,okx,0.478520,0.533800,208.9777,100.00,11.5523,0.2000,0.0000,900.00
2025-11-26T23:45:15.392523,OPEN,P0002,okx_perp,mexc,0.478500,0.534240,208.9864,100.00,11.6489,0.2000,0.0000,800.00
