Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-12-04 00:00:00-05:00,59.46807408411023,60.013568186716384,59.214137545421686,59.515098571777344,15257900,0.0,0.0,0.0
2023-12-05 00:00:00-05:00,59.571540208940455,59.580943672972694,58.856758547101556,59.09188461303711,11268300,0.0,0.0,0.0
2023-12-06 00:00:00-05:00,59.355209387229245,59.900699854225465,59.27056388176144,59.88188934326172,13408900,0.0,0.0,0.0
2023-12-07 00:00:00-05:00,59.96654441080485,60.18286352751245,59.47748539871607,59.75022888183594,10938300,0.0,0.0,0.0
2023-12-08 00:00:00-05:00,59.656177761824246,59.91011430961911,59.195329155587956,59.637367248535156,12001400,0.0,0.0,0.0
2023-12-11 00:00:00-05:00,59.32700484404561,60.09821797744477,59.32700484404561,60.02297592163086,11224400,0.0,0.0,0.0
2023-12-12 00:00:00-05:00,60.10761738544414,60.13583136060158,59.317593791389754,59.7784423828125,10884100,0.0,0.0,0.0
2023-12-13 00:00:00-05:00,59.844283061875466,62.0356559753418,59.52451149137416,62.0356559753418,21726000,0.0,0.0,0.0
2023-12-14 00:00:00-05:00,62.41185919889314,62.7316271822174,61.10455893675672,61.22682189941406,32484100,0.0,0.0,0.0
2023-12-15 00:00:00-05:00,60.61548902538149,60.9258571140676,59.72201296150263,60.1640510559082,26564500,0.0,0.0,0.0
2023-12-18 00:00:00-05:00,60.332086008021065,60.67385765314178,59.90487145162017,60.028289794921875,16253500,0.597,0.0,0.0
2023-12-19 00:00:00-05:00,60.237149579745136,60.44600720769447,59.9808208521589,60.370059967041016,12688900,0.0,0.0,0.0
2023-12-20 00:00:00-05:00,60.29411160420709,60.464997429681596,59.13588988009125,59.145381927490234,18325900,0.0,0.0,0.0
2023-12-21 00:00:00-05:00,59.344744219999164,59.65803608981074,58.832090393590995,59.24980926513672,15876800,0.0,0.0,0.0
2023-12-22 00:00:00-05:00,59.46816068831543,60.0377812641851,59.33525030707339,59.44917297363281,13223700,0.0,0.0,0.0
2023-12-26 00:00:00-05:00,59.35424598919053,60.037789323375264,59.3352582719591,59.809940338134766,9537500,0.0,0.0,0.0
2023-12-27 00:00:00-05:00,59.696013969459706,59.88588750851075,59.46816499829115,59.7719612121582,9492200,0.0,0.0,0.0
2023-12-28 00:00:00-05:00,59.58208868135596,60.284619701272085,59.58208868135596,60.19917678833008,8673200,0.0,0.0,0.0
2023-12-29 00:00:00-05:00,60.06626301983228,60.24664088300184,59.72449138726982,60.123226165771484,11239000,0.0,0.0,0.0
2024-01-02 00:00:00-05:00,59.86690109780109,61.13904912918371,59.7434827514964,60.99664306640625,15379300,0.0,0.0,0.0
2024-01-03 00:00:00-05:00,60.977657859651835,61.338413601446874,60.55993534794056,61.2244873046875,16433200,0.0,0.0,0.0
2024-01-04 00:00:00-05:00,61.29093966499771,61.61372720268033,60.958663701995576,61.03461456298828,13311200,0.0,0.0,0.0
