Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,Entry_SMA(20),Exit_SMA(20),Entry_RSI(14),Exit_RSI(14)
-172,85,86,54.97267532348633,54.70727313889143,55.41738579008824,54.70727313889143,7.919273479264419,37.72990227105795,0.0008375486075437926,2024-04-08 00:00:00-04:00,2024-04-09 00:00:00-04:00,1 days 00:00:00,,54.47056892182582,54.62550975828356,53.29805068969726,53.4400728225708,61.954860771403766,58.806523801022614
-170,96,97,55.6038818359375,56.061034710781534,56.061034710781534,55.145776971391456,-115.68206034937032,37.966071625884474,-0.012238043198949349,2024-04-23 00:00:00-04:00,2024-04-24 00:00:00-04:00,1 days 00:00:00,,54.840691058261434,55.288275520226414,54.3414608001709,54.47822303771973,64.43552500471168,67.6257138596649
-168,100,101,55.67082977294922,55.69043295105718,55.69043295105718,54.972431458431366,-40.7107181974041,37.41738427526615,-0.004352830819017673,2024-04-29 00:00:00-04:00,2024-04-30 00:00:00-04:00,1 days 00:00:00,,54.7330976275561,55.42360511912163,54.64032917022705,54.64941482543945,60.74215492303728,57.57495012256816
-156,107,108,59.611114501953125,59.687620824871445,,58.59614987005076,-49.15619179722716,37.221205421969266,-0.0052859906446078775,2024-05-08 00:00:00-04:00,2024-05-09 00:00:00-04:00,1 days 00:00:00,,58.241093532826135,59.095626378026054,55.58427486419678,55.84393177032471,69.43950617500211,64.9245784256323
-157,109,110,59.16161346435547,59.36532006860008,59.36532006860008,58.68676860034352,-69.19939399575158,37.21745712934804,-0.007450109040316669,2024-05-10 00:00:00-04:00,2024-05-13 00:00:00-04:00,3 days 00:00:00,,58.46058477759133,58.78814789630432,56.151885986328125,56.49092254638672,65.77804242193902,67.82118200668414
-154,111,112,59.83107376098633,59.524795816739385,60.24279728253685,59.524795816739385,10.405195584089768,36.76160782993952,0.001129282843249737,2024-05-14 00:00:00-04:00,2024-05-15 00:00:00-04:00,1 days 00:00:00,,59.2854619948069,59.35766533589368,56.82804584503174,57.10348320007324,68.04942648150765,63.028450060005305
-155,113,114,59.42940139770508,58.877808673247706,59.6431520321667,58.877808673247706,48.82163716889725,36.675235121995364,0.005300041678152033,2024-05-16 00:00:00-04:00,2024-05-17 00:00:00-04:00,1 days 00:00:00,,58.62269422027471,59.15587671265146,57.371269416809085,57.57115249633789,64.23528237117529,60.27118659218503
-155,116,117,59.53459930419922,59.11690346134825,59.88224379751834,59.11690346134825,27.96088978458029,36.78196585731972,0.0030300504148542615,2024-05-21 00:00:00-04:00,2024-05-22 00:00:00-04:00,1 days 00:00:00,,58.86179001595822,59.20321338237911,57.963746070861816,58.10194282531738,63.2331708221059,58.820497264787065
170,145,146,54.70571517944336,54.47403216227235,,54.85412951913558,-76.5072270152547,37.12111409618334,-0.008226608689388796,2024-07-03 00:00:00-04:00,2024-07-05 00:00:00-04:00,2 days 00:00:00,,54.49574715679719,54.42963023074125,56.21212291717529,56.047050094604494,37.440025768792516,35.80763106700735
170,147,148,54.24235153198242,54.13906007424203,54.13906007424203,54.569118949695394,-54.40922776198262,36.84967994611631,-0.005900449960472845,2024-07-08 00:00:00-04:00,2024-07-09 00:00:00-04:00,1 days 00:00:00,,54.13906007424203,53.90255281340077,55.858809089660646,55.70145874023437,34.73895799673315,36.66731402984812
168,151,152,54.58021926879883,54.45037595059396,54.45037595059396,55.07953576432704,-58.44795745213409,36.63427999371598,-0.006374186716441715,2024-07-12 00:00:00-04:00,2024-07-15 00:00:00-04:00,3 days 00:00:00,,54.45037595059396,54.11299504237113,55.34959316253662,55.23326988220215,39.43422473119246,37.85307298011265
167,152,153,54.36784362792969,54.81383138201268,54.11299504237113,54.81383138201268,38.013275478538944,36.46667945332075,0.0041867469605907015,2024-07-15 00:00:00-04:00,2024-07-16 00:00:00-04:00,1 days 00:00:00,,54.11299504237113,53.93247628979762,55.23326988220215,55.210584449768064,37.85307298011265,45.64150230080136
