Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-04 00:00:00-05:00,273.53669064032147,275.8498400446999,273.53669064032147,274.6308898925781,3522900,0.0,0.0
2023-12-05 00:00:00-05:00,275.03396174154534,277.155166154629,273.74781790197386,275.0243835449219,3005300,0.0,0.0
2023-12-06 00:00:00-05:00,275.2067615608865,275.8210256886571,272.0105728672586,275.3315124511719,2765100,0.0,0.0
2023-12-07 00:00:00-05:00,275.93616313271724,276.56964215585657,274.1605355198858,275.2643127441406,3131900,0.0,0.0
2023-12-08 00:00:00-05:00,275.78261105182634,276.32971060821797,273.59424211738053,274.0549621582031,3623600,0.0,0.0
2023-12-11 00:00:00-05:00,274.08373018825955,277.68302279574414,274.08373018825955,277.5294494628906,3353000,0.0,0.0
2023-12-12 00:00:00-05:00,277.50066815153144,279.9769979743229,276.915197255433,279.708251953125,2252200,0.0,0.0
2023-12-13 00:00:00-05:00,279.9673962453838,284.07538796311115,279.8330085864611,284.0369873046875,3312300,0.0,0.0
2023-12-14 00:00:00-05:00,282.76042373082134,283.40348091901984,276.4352705798341,278.3644714355469,4626800,0.0,0.0
2023-12-15 00:00:00-05:00,278.73882791302026,280.0249716543562,274.23731017278493,275.7250061035156,6328500,0.0,0.0
2023-12-18 00:00:00-05:00,277.0495521558235,278.9115885976658,276.0033612545607,278.5660705566406,2490100,0.0,0.0
2023-12-19 00:00:00-05:00,278.98843415850865,279.99622456244975,277.9518212887919,279.0460205078125,2054200,0.0,0.0
2023-12-20 00:00:00-05:00,279.0460074523898,279.9482326041037,277.11677696760046,277.37591552734375,2398500,0.0,0.0
2023-12-21 00:00:00-05:00,278.8923910224416,279.8138017170048,277.66383366598467,279.679443359375,2313100,0.0,0.0
2023-12-22 00:00:00-05:00,279.01717837129206,280.7160339598883,278.82520437988427,279.97698974609375,1700300,0.0,0.0
2023-12-26 00:00:00-05:00,279.51628702818573,281.2727290646085,279.1995621430054,281.0903625488281,1381500,0.0,0.0
2023-12-27 00:00:00-05:00,280.7448312306889,282.7892341754606,280.7064305736226,282.7124328613281,1892100,0.0,0.0
2023-12-28 00:00:00-05:00,282.63562477511005,284.5552473078194,282.1845123082787,283.9505615234375,1907100,0.0,0.0
2023-12-29 00:00:00-05:00,283.94096450084504,284.9199907749177,283.4418731687506,284.5936584472656,2227800,0.0,0.0
2024-01-02 00:00:00-05:00,283.19237218365913,285.3327623796995,283.19237218365913,285.1024169921875,4458400,0.0,0.0
2024-01-03 00:00:00-05:00,285.06396189236966,286.0141657255201,282.4244807637366,282.5588684082031,3114800,0.0,0.0
2024-01-04 00:00:00-05:00,283.4514913344557,285.3231058686635,279.2283273059794,280.0153503417969,4615400,0.0,0.0
2024-01-05 00:00:00-05:00,277.5870752286198,278.6620594201625,275.65787403495284,277.37591552734375,3407300,0.0,0.0
2024-01-08 00:00:00-05:00,276.91516969394837,280.2649017838931,275.9649365815848,280.1689147949219,3097000,0.0,0.0
2024-01-09 00:00:00-05:00,277.99017164407906,279.1803283691406,275.96495442298533,279.1803283691406,2176400,0.0,0.0
