ticker,score,total_return,pct_in_range,crosses_per_year,volatility,trend_strength,sr_hits,current_price,avg_volume
ADC,100,3.0937458145097185,80.4,25.2,17.663128237580246,3.8325639393574362,1713,74.63999938964844,1112619.2
XLP,100,-2.0444212620942315,80.4,21.168,13.949053169380573,0.3265775644048009,2241,79.29000091552734,13876710.8
NNN,95,-1.1601779566557058,80.4,27.216,19.69315462252111,8.954864620731067,1971,40.88999938964844,1272950.8
USO,95,0.02814842737710599,75.6,26.208,30.502637560420688,3.8084056763419283,943,71.05999755859375,5201552.0
IYR,95,-2.845363061606909,80.0,41.328,17.63707367556075,3.7245366953890717,2367,95.79000091552734,6034778.4
TLT,95,-1.5762004325474588,80.4,17.136,12.403070368026665,4.104095362631622,1513,88.7699966430664,37382806.4
XLRE,95,-4.111615659414758,80.0,39.312,17.57411016112774,3.0983956690931276,2508,41.09000015258789,6262775.8
PEP,95,-4.759485378025142,78.4,29.232,22.69278042264869,1.0554478319439442,1157,149.50999450683594,8077645.2
VNQ,95,-2.93273051433266,80.0,43.344,17.76297658025979,3.6582041376107934,2159,90.29000091552734,3527204.0
ED,90,2.799852370706568,74.4,20.16,19.946469351519582,7.7380867000317695,1230,97.87999725341797,2555179.6
SO,90,4.806462708815085,80.4,23.184,17.725678572571308,15.806342058931513,950,89.01000213623047,5094814.0
SYY,90,2.2546181796132547,80.4,17.136,21.27588358541698,9.83150205906058,1005,75.91000366210938,3211497.6
VZ,90,-0.6957598409532362,79.60000000000001,24.192,21.237624390789467,7.600177562097513,1025,40.7400016784668,22176836.0
PEG,90,-8.847553464192536,80.4,38.304,21.63669891399223,0.25404104637055497,1752,81.56999969482422,2758706.0
FITB,85,-4.607703352186143,70.39999999999999,17.136,27.961091419908612,6.41558189701329,889,43.77000045776367,5428732.0
MCD,85,5.593501965776793,80.4,27.216,18.36291171131651,5.183063108819135,2064,303.57000732421875,3387138.4
SNY,85,8.764428586285122,78.0,25.2,28.04537942338986,0.6959444622259336,1081,49.95000076293945,2669463.2
KEY,80,2.1004751601437777,67.60000000000001,15.12,31.109691842341025,13.696807338677939,870,18.6200008392334,18327334.4
PNC,80,-5.601137835934633,70.39999999999999,19.152,25.088354047957356,4.922407242631569,1047,192.39999389648438,2154222.0
TFC,80,4.02585707678218,70.0,13.104,28.952969556063874,7.3948348965860955,1088,46.56999969482422,8309132.0
RF,80,-1.4134689291909197,66.8,15.12,29.292900359544067,15.557115825258963,670,25.329999923706055,14007594.4
SHY,75,4.506261645840426,80.4,7.056,1.5000143370380785,5.027606849745089,2602,82.76000213623047,3973604.4
BND,75,4.7894283024280115,80.4,7.056,4.658166439461942,7.257430472877795,1612,74.25,6907777.6
LQD,75,4.668984762793538,80.4,5.04,6.874450938002775,8.753763692795662,1362,110.8499984741211,28310256.4
SJM,75,-10.280753358941075,74.4,24.192,29.932731622958634,1.0559582925101996,1378,103.08999633789062,1660289.2
AGG,75,4.862074463143173,80.4,7.056,4.736063228128174,7.374270312142282,1551,100.05999755859375,8753039.6
MDLZ,75,-10.915915749450244,77.2,20.16,22.62645860260833,0.937426042277057,897,56.400001525878906,8867100.8
PSA,75,-18.00245723805004,80.0,42.336,22.4060519609398,4.91274024856432,1015,271.1499938964844,828374.4
O,75,7.195252200165192,80.4,17.136,17.88242810156292,14.330325937276209,853,57.43000030517578,5562072.4
HSY,70,7.495689769008496,72.39999999999999,15.12,30.304456044152218,16.82821315806634,877,185.0800018310547,1868697.2
K,70,5.136465007269075,80.4,7.056,7.23596320288298,2.454787665318147,1480,83.06999969482422,2816343.2
EXR,70,-18.80659454040684,79.2,26.208,26.578708424769133,7.579687597146309,924,131.94000244140625,1146778.4
KHC,70,-14.938492588798201,80.4,22.176,25.53269191547259,17.2669443860812,789,25.3700008392334,13305762.128
DUK,70,8.627625419983808,80.4,13.104,17.011220342573736,16.88751076051109,860,120.75,3381110.4
USB,70,-2.157714011528933,72.0,9.072,27.374002042621413,6.304970252374603,1072,49.40999984741211,9840626.0
PG,70,-15.78441863736506,80.4,22.176,18.53484375503713,12.164357590383725,1124,147.44000244140625,7886335.2
SHW,70,-12.904585133431002,80.0,18.144,24.539669307865235,3.1639023777482076,1422,341.489990234375,1817656.0
REM,70,7.630643611566712,76.8,13.104,20.720032844029976,7.832221304982681,1554,22.8700008392334,568892.8
IEF,65,5.527029715196519,80.4,9.072,5.817834722302024,8.335024050936665,1576,96.69000244140625,8328952.8
STAG,65,12.199614782247735,79.60000000000001,21.168,24.025381578868632,14.602061402152689,824,39.16999816894531,1432150.0
PPG,65,-18.63234378088855,78.4,22.176,29.683570084373095,14.746972020692168,557,99.86000061035156,2031418.8
HYG,65,6.567157574014226,80.4,3.024,5.672372548143747,8.506781589878317,1898,80.47000122070312,40453902.0
T,65,18.70175383151349,72.0,22.176,22.899929150814653,17.4772172700846,958,25.790000915527344,39732179.6
DD,65,16.393900398360728,66.8,25.2,35.55903871287866,12.276626817290822,670,39.90999984741211,6942828.468
TMUS,65,-14.282411888153767,70.0,16.128,27.97003695372611,6.436719574503518,595,206.6300048828125,4384284.0
KMB,65,-19.302277247862353,74.0,22.176,24.596672079693906,13.572991933753153,707,108.54000091552734,2854958.4
DTE,65,11.464611990662421,80.4,17.136,17.402345435605255,17.150560149255647,1090,133.27000427246094,1325733.2
DBC,65,10.80211828214901,80.4,13.104,15.174471293502242,5.701369464457919,2247,23.1200008392334,909118.0
NEE,60,13.261350588558107,74.4,17.136,27.941747536276253,19.613072153475223,444,84.6500015258789,11097178.8
